0 0 0
0.047619 0.181406 0.174469
0.0952381 0.344671 0.338312
0.142857 0.489796 0.483689
0.190476 0.61678 0.610786
0.238095 0.725624 0.719685
0.285714 0.816327 0.810416
0.333333 0.888889 0.882993
0.380952 0.943311 0.937421
0.428571 0.979592 0.973705
0.47619 0.997732 0.991846
0.52381 0.997732 0.991846
0.571429 0.979592 0.973705
0.619048 0.943311 0.937421
0.666667 0.888889 0.882993
0.714286 0.816327 0.810416
0.761905 0.725624 0.719685
0.809524 0.61678 0.610786
0.857143 0.489796 0.483689
0.904762 0.344671 0.338312
0.952381 0.181406 0.174469
1 0 0
